Date/Time,Address,Call Type,Description,Incident Number,Duration
10/5/2023 2:26,900 BLK 10TH AVE S,Domestic,DOMESTIC,Multiple incidents,0:52:27
10/4/2023 19:13,900 BLK 10TH AVE S,Domestic,DOMESTIC,2023-00025920,0:28:05
10/2/2023 14:38,2500 BLK 31ST AVE S,Domestic,DOMESTIC,2023-00025683,0:20:56
10/1/2023 13:02,1000 BLK 32ND AVE S,Domestic,POSS DOMESTIC,2023-00025586,0:28:08
9/30/2023 18:15,1200 BLK 19TH ST N,Domestic,DOMESTIC,2023-00025528,0:22:47
9/30/2023 14:36,1900 BLK 18TH AVE S,Domestic,Domestic,2023-00025514,1:04:55
9/30/2023 2:51,1900 BLK 5TH AVE S,Domestic,DOMESTIC,2023-00025494,1:08:42
9/29/2023 19:06,8000 BLK 28TH ST S,Domestic,DOMESTIC,2023-00018600,1:30:59
9/29/2023 13:10,600 BLK 36TH AVE S,Domestic,DOMESTIC,2023-00025429,1:05:11
9/28/2023 13:36,1900 BLK 18TH AVE S,Domestic,DOMESTIC / SEPARATED,2023-00025311,1:05:55
9/28/2023 13:25,800 BLK 44TH AVE S,Domestic,DOMESTIC,2023-00025310,0:18:57
9/28/2023 7:49,3700 BLK 17TH ST S,Domestic,DOMESTIC?,2023-00025273,5:37:57
9/27/2023 21:45,3600 BLK 5TH ST S,Domestic,PHYSICAL DOMESTIC,2023-00025244,0:46:05
9/27/2023 10:23,1600 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00025179,0:52:40
9/25/2023 7:29,900 BLK 17TH ST S,Domestic,PHYS DOMESTIC,2023-00024961,0:48:36
9/24/2023 8:25,2500 BLK COUNTRY CLUB PKWY,Domestic,DOMESTIC,2023-00024891,0:26:18
9/24/2023 3:42,1100 BLK 18 1/2 ST N,Domestic,DOMESTIC,2023-00024882,2:00:55
9/23/2023 19:46,4400 BLK BLUE STEM WAY,Domestic,DOMESTIC,2023-00024852,0:35:00
9/22/2023 23:28,2900 BLK 17TH AVE S,Domestic,VERBAL DOMESTIC MOTHER/SON,2023-00024767,1:24:19
9/22/2023 21:29,1200 BLK 2ND ST S,Domestic,PHYS DOMESTIC,2023-00024758,1:41:19
9/22/2023 7:51,500 BLK QUEENS CT,Domestic,DOMESTIC,2023-00024662,0:44:29
9/18/2023 23:55,2900 BLK 4TH AVE N,Domestic,Domestic,2023-00024264,1:02:59
9/18/2023 10:37,300 BLK 14TH AVE S,Domestic,Domestic,2023-00024189,0:18:33
9/17/2023 21:18,1300 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00024149,1:06:01
9/16/2023 20:37,1200 BLK 34TH AVE S,Domestic,Domestic,2023-00024085,1:40:03
9/16/2023 16:38,2300 BLK 8TH ST S,Domestic,DOMESTIC // SEPARATED,2023-00024070,0:27:32
9/14/2023 4:03,500 BLK 32ND AVE S,Domestic,PHYSICAL DOMESTIC,Multiple incidents,2:30:50
9/13/2023 18:24,1100 BLK 27TH AVE S,Domestic,PHYS DOMESTIC,2023-00023777,1:19:03
9/13/2023 15:24,1900 BLK 28TH AVE S,Domestic,DOMESTIC,Multiple incidents,4:36:26
9/13/2023 15:23,2000 BLK 11TH ST S,Domestic,Domestic,,5:04:08
9/12/2023 16:19,1800 BLK 20TH ST S,Domestic,DOMESTIC,2023-00023644,0:42:36
9/11/2023 20:37,200 BLK 13TH ST S,Domestic,DOMESTIC,2023-00023550,1:18:52
9/10/2023 11:56,200 BLK 13TH ST S,Domestic,DOMESTIC,Multiple incidents,0:18:20
9/10/2023 11:53,100 BLK 11TH ST S,Domestic,DOMESTIC,2023-00023416,0:12:44
9/8/2023 23:12,1300 BLK 19 1/2 ST S,Domestic,SOUNDS OF DOMESTIC,2023-00023306,0:09:08
9/8/2023 20:48,3600 BLK 17TH ST S,Domestic,DOMESTIC REPORT,2023-00023294,2:00:39
9/5/2023 0:57,400 BLK DALE AVE,Domestic,Domestic,Multiple incidents,1:57:38
9/4/2023 14:50,200 BLK 13TH ST S,Domestic,1021 / DOMESTIC,2023-00022780,0:17:27
9/3/2023 23:36,1ST AVE N,Domestic,Domestic,2023-00022745,0:15:38
9/3/2023 22:56,800 BLK 2ND AVE N,Domestic,DOMESTIC,Multiple incidents,1:03:38
9/3/2023 12:52,1600 BLK 20TH ST S,Domestic,DOMESTIC,2023-00022693,0:27:05
9/1/2023 15:30,1300 BLK 3RD AVE N,Domestic,Domestic,2023-00022523,0:30:38
8/30/2023 16:02,400 BLK 10TH ST S,Domestic,DOMESTIC,2023-00022291,0:37:38
8/30/2023 0:18,500 BLK 17TH ST S,Domestic,DOMESTIC,2023-00022212,1:08:20
8/28/2023 22:43,900 BLK 18TH ST S,Domestic,PHY DOMESTIC,2023-00022083,0:54:38
8/26/2023 13:28,2900 BLK RIVERSHORE DR S,Domestic,POSS DOMESTIC,2023-00021814,0:25:56
8/26/2023 0:53,500 BLK 32ND AVE S,Domestic,DOMESTIC,2023-00021779,1:05:04
8/25/2023 5:14,2700 BLK 14TH ST S,Domestic,Domestic,2023-00021662,2:38:32
8/24/2023 20:36,1300 BLK 19 1/2 ST S,Domestic,Domestic,2023-00021626,0:02:35
8/24/2023 19:27,1300 BLK 19 1/2 ST S,Domestic,Domestic,2023-00021615,1:09:40
8/24/2023 18:08,2400 BLK 3RD AVE N,Domestic,Domestic,2023-00021609,0:56:33
8/23/2023 9:43,4500 BLK 18TH ST S,Domestic,DOMESTIC,2023-00021433,0:14:21
8/22/2023 17:19,35TH STREET CIR S,Domestic,DOMESTIC,2023-00021367,0:27:12
8/21/2023 21:42,800 BLK 2ND AVE N,Domestic,PHYSICAL DOMESTIC,Multiple incidents,1:34:35
8/21/2023 21:18,2000 BLK 56TH AVE N,Domestic,DOMESTIC,Multiple incidents,0:58:58
8/20/2023 15:26,3000 BLK 33RD ST S,Domestic,DOMESTIC/SEP,2023-00021158,0:29:51
8/19/2023 5:18,3200 BLK 9TH ST S,Domestic,Domestic,2023-00021051,0:20:55
8/18/2023 16:41,1400 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00020990,0:23:22
8/17/2023 14:06,400 BLK CENTER AVE,Domestic,Domestic,2023-00020872,0:44:41
8/14/2023 23:53,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00020588,2:00:53
8/14/2023 16:24,3600 BLK 5TH ST S,Domestic,Domestic,2023-00020551,0:47:39
8/14/2023 9:16,-100 BLK,Domestic,Domestic,2023-00015318,0:16:27
8/13/2023 23:20,500 BLK 32ND AVE S,Domestic,VERBAL DOMESTIC,2023-00020494,0:25:52
8/13/2023 21:16,100 BLK 14TH ST N,Domestic,PHYS DOMESTIC,Multiple incidents,2:10:31
8/13/2023 13:10,1200 BLK 20TH ST S,Domestic,POSS DOMESTIC/WELFARE CHECK,2023-00020462,1:02:33
8/13/2023 11:45,200 BLK 13TH AVE S,Domestic,Domestic,2023-00020457,0:29:26
8/13/2023 3:53,1900 BLK 18TH AVE S,Domestic,Domestic,2023-00020441,0:56:04
8/12/2023 21:24,500 BLK 14TH ST N,Domestic,PHY DOMESTIC,Multiple incidents,0:37:24
8/12/2023 0:23,3600 BLK 8TH ST S,Domestic,DOMESTIC,Multiple incidents,0:22:33
8/11/2023 21:51,400 BLK 16TH ST N,Domestic,Domestic,2023-00020340,1:23:00
8/11/2023 7:22,2400 BLK 8TH ST S,Domestic,DOMESTIC,2023-00020258,0:15:34
8/10/2023 18:43,3000 BLK 22ND ST S,Domestic,DOMESTIC,2023-00020225,0:26:42
8/9/2023 11:28,1200 BLK 34TH AVE S,Domestic,DOMESTIC,2023-00020069,0:45:58
8/9/2023 3:42,600 BLK 36TH AVE S,Domestic,PHYSICAL DOMESTIC,2023-00020046,0:30:38
8/7/2023 21:43,3200 BLK 9TH ST S,Domestic,DOMESTIC,2023-00019930,0:46:35
8/7/2023 21:32,1300 BLK 19TH AVE S,Domestic,PHYS DOMESTIC,2023-00019929,0:45:40
8/7/2023 3:53,3200 BLK 27TH ST S,Domestic,DOMESTIC/DELAYED,2023-00019863,0:53:48
8/6/2023 1:16,3000 BLK 18TH ST S,Domestic,Domestic,2023-00019773,0:55:43
